Auteurs;Titre;Série;Date de publication;Editeur;Pages;ISBN;Chemin de la couverture
Alice  Alex - Dorison  Xavier - Lapierre  François - Montaigne  Timothée;Le Troisième Testament - Julius II: La Révélation - Chapitre 1;3ème Testament - Julius (tome 2);07/11/2012;GLENAT;56;9782723485043;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/48.png
Alice  Alex - Dorison  Xavier - Recht  Robin;Le Troisième Testament - Julius Livre 1;3ème Testament - Julius (tome 1);29/09/2010;GLENAT;88;9782723464475;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/49.png
Bollée  LF - Fino  Serge;Les Maîtres-Saintiers - Tome 01: À l'accord parfait- 1788;Maîtres-Saintiers (tome 1);11/03/2015;Glénat BD;48;9782344003244;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/50.png
Convard  Didier - Adam  Éric - Vignaux  Fred - Bourdin  Stéphane;Vercingétorix (Ils ont fait l'Histoire);seul;05/03/2014;Glénat BD;63;9782723495288;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/17.png
Corbeyran - Bagarry  Frédéric - Chabbert  Éric;Shadow Banking - Tome 02: Engrenage;Shadow Banking (tome 2);09/09/2015;Glénat BD;48;9782344004982;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/16.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de mars - Tome 01;Lièvre de Mars (tome 1);20/04/1993;GLENAT;48;9782723423595;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/8.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de mars - Tome 03;Lièvre de Mars (tome 3);21/06/1995;GLENAT;48;9782723417143;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/4.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de Mars- tome 2;Lièvre de Mars (tome 2);22/06/1994;GLENAT;48;9782723416849;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/3.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de Mars- tome 4;Lièvre de Mars (tome 4);25/09/1996;GLENAT;48;9782723420860;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/5.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de Mars- tome 5;Lièvre de Mars (tome 5);22/10/1997;GLENAT;48;9782723422857;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/9.png
Cothias  Patrick - Parras  Antonio;Le Lièvre de Mars- tome 6;Lièvre de Mars (tome 6);18/11/1998;GLENAT;48;9782723425858;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/7.png
Dethorey  Giroud -;Louis la Guigne - Tome 01;Louis la Guigne;15/03/1983;GLENAT;48;9782723425247;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/Balzac.jpg
Dufaux  Jean - Dufaux  Jean - Savey  Joëlle  et Joëlle;Grands écrivains : Balzac;seul;1994;Glénat;58;9782723416917;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/22.png
GIACOMETTI+RAVENNE;Marcas- maître franc-maçon T01: Le Rituel de l'ombre 1/2;Marcas (tome 1);19/09/2012;Delcourt;56;9782756021416;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/51.png
Giroud  Frank - Stalner  Jean-Marc;Le Cercle de Minsk - Tome 01: Le maillon perdu;Cercle de Minsk (tome 1);27/08/2008;GLENAT;48;9782723465793;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/15.png
